"sound","character","meaning"
"de","的","possessive, adjectival suffix"
"yī","一","one; a, an; alone"
"shì","是","indeed, yes, right; to be; demo"
"bù","不","no, not; un-; negative prefix"
"le","了(瞭)","to finish; particle of complete"
"zài","在","be at, in, on; consist in, rest"
"rén","人","man; people; mankind; someone e"
"yǒu","有","have, own, possess; exist"
"wǒ","我","our, us, i, me, my, we"
"tā","他","other, another; he, she, it"
"zhè","这(這)","this, the, here"
"gè","个(個 箇)","numerary adjunct, piece; single"
"men","们(們)","adjunct pronoun indicate plural"
"zhōng","中","central; center, middle; in the"
"lái","来(來)","come, coming; return, returning"
"shàng","上","top; superior, highest; go up"
"dà","大","big, great, vast, large, high"
"wèi","为(為)","do, handle, govern, act; be"
"hé","和(龢 和)","harmony, peace; peaceful, calm"
"guó","国(國)","nation, country, nation-state"
"dì","地","earth; soil, ground; region"
"dào","到","go to, arrive, been to"
"yǐ","以","by means of; thereby"
"shuō","说(説 說)","speak, say, talk; scold"
"shí","时(時)","time, season; era, age, period"
"yào","要","necessary, essential; necessity"
"jiù","就","just, simply; to come, go to; t"
"chū","出(出 齣)","go out, send out; stand; produc"
"huì","会(會)","assemble, meet together; meetin"
"kě","可","may, can, -able; possibly"
"yě","也","also; classical final particle "
"nǐ","你(妳)","you, second person pronoun"
"duì","对(對)","correct, right; facing, opposed"
"shēng","生","life, living, lifetime; birth"
"néng","能","to be able; can, permitted to; "
"ér","而","and; and then; and yet; but"
"zǐ","子","offspring, child; fruit"
"nà","那","that, that one, those"
"dé","得","obtain, get, gain, acquire"
"yú","于(於 于)","in, on, at; go to; surname"
"zháo","着(著)","make move, take action"
"xià","下","under, underneath, below; down;"
"zì","自","self, private, personal; from"
"zhī","之","marks preceding phrase as modif"
"nián","年","year; new-years; person's age"
"guò","过(過)","pass, pass through, go across"
"fā","发(髮 發)","issue, dispatch, send out; hair"
"hòu","后(後 后)","queen, empress, sovereign; (sim"
"zuò","作","make; work; compose, write; act"
"lǐ","里(裡 浬 裏 里)","unit of distance; village; lane"
"yòng","用","use, employ, apply, operate; us"
"dào","道","path, road, street; method, way"
"xíng","行","go; walk; move, travel; circula"
"suǒ","所","place, location; numerary adjun"
"rán","然","yes, certainly; pledge, promise"
"jiā","家(家 傢)","house, home, residence; family"
"zhǒng","种(種)","seed; race, breed; to plant"
"shì","事","affair, matter, business; to se"
"chéng","成","completed, finished, fixed"
"fāng","方","a square, rectangle; a region; "
"duō","多","much, many; more than, over"
"jīng","经(經)","classic works; pass through"
"yāo","么(麼)","interrogative particle; repetit"
"qù","去","go away, leave, depart"
"fǎ","法","law, rule, regulation, statute;"
"xué","学(學)","learning, knowledge; school"
"rú","如","if, supposing; as if; like, as"
"dū","都","metropolis, capital; all"
"tóng","同(同 仝)","same, similar; together with"
"xiàn","现(現)","appear, manifest"
"dāng","当(當 噹)","bear, accept, undertake; just"
"méi","没(沒)","not, have not, none; drown"
"dòng","动(動)","move, happen; movement, action"
"miàn","面(麵 麪 面)","face; surface; plane; side"
"qǐ","起","rise, stand up; go up; begin"
"kàn","看","look, see; examine, scrutinize"
"dìng","定","decide, settle, fix"
"tiān","天","sky, heaven; god, celestial"
"fēn","分(分 份)","divide; small unit of time etc."
