"sound","character","meaning"
"jiě","解","loosen, unfasten, untie; explai"
"shuǐ","水","water, liquid, lotion, juice"
"míng","名","name, rank, title, position"
"zhēn","真","real, actual, true, genuine"
"lùn","论(論)","debate; discuss; discourse"
"chù","处(處)","place, locale; department"
"zǒu","走","walk, go on foot; run; leave"
"yì","义(義)","right conduct, righteousness"
"gè","各","each, individually, every, all"
"rù","入","enter, come in(to), join"
"jī","几(幾 几)","small table"
"kǒu","口","mouth; open end; entrance, gate"
"rèn","认(認)","recognize, know, understand"
"tiáo","条(條)","clause, condition; string"
"píng","平","flat, level, even; peaceful"
"xì","系(系 繫 係)","system; line, link, connection"
"qì","气(氣)","steam, vapor; KangXi radical 84"
"tí","题(題)","forehead; title, headline; them"
"huó","活","live, exist, survive; lively"
"ěr","尔(爾)","you; that, those; final particl"
"gèng","更","more, still further, much more"
"bié","别(別 彆)","separate, other; do not"
"dǎ","打","strike, hit, beat; fight; attac"
"nǚ","女","woman, girl; feminine; rad. 38"
"biàn","变(變)","change, transform, alter; rebel"
"sì","四","four"
"shén","神","spirit, god, supernatural being"
"zǒng","总(總)","collect; overall, altogether"
"hé","何","what, why, where, which, how"
"diàn","电(電)","electricity; electric; lightnin"
"shù","数(數)","number; several, count; fate"
"ān","安","peaceful, tranquil, quiet"
"shǎo","少","few, less, inadequate"
"bào","报(報)","report, tell, announce"
"cái","才","talent, ability; just, only"
"jié","结(結)","knot, tie; join, connect"
"fǎn","反","reverse, opposite, contrary"
"shòu","受","receive, accept, get; bear"
"mù","目","eye; look, see; division, topic"
"tài","太","very, too, much; big; extreme"
"liàng","量","measure, quantity, capacity"
"zài","再","again, twice, re-"
"gǎn","感","feel, perceive, emotion"
"jiàn","建","build, establish, erect, found"
"wù","务(務)","affairs, business; must, should"
"zuò","做","work, make; act"
"jiē","接","receive; continue; catch; conne"
"bì","必","surely, most certainly; must"
"cháng","场(場)","open space, field, market"
"jiàn","件","numerary adjunct for article; m"
"jì","计(計)","plan, plot; strategem; scheme"
"guǎn","管","pipe, tube, duct; woodwind musi"
"qī","期","period of time; date; time limi"
"shì","市","market, fair; city, town; trade"
"zhí","直","straight, erect, vertical"
"dé","德","ethics, morality, virtue"
"zī","资(資)","property; wealth; capital"
"mìng","命","life; destiny, fate, luck; an o"
"shān","山","mountain, hill, peak"
"jīn","金","gold; metals in general; money"
"zhǐ","指","finger, toe; point, indicate"
"kè","克(克 剋)","gram; overcome; transliteration"
"xǔ","许(許)","allow, permit; promise; betroth"
"tǒng","统(統)","govern, command, control; unite"
"qū","区(區)","area, district, region, ward"
"bǎo","保","protect, safeguard, defend"
"zhì","至","reach, arrive; extremely, very"
"duì","队(隊)","team, group; army unit"
"xíng","形","form, shape, appearance"
"shè","社","god of the soil and altars to h"
"biàn","便","convenience, ease; expedient"
"kōng","空","empty, hollow, bare, deserted"
"jué","决(決)","decide, determine, judge"
"zhì","治","govern, regulate, administer"
"zhǎn","展","open, unfold; stretch, extend"
"mǎ","马(馬)","horse; surname; KangXi radical "
"kē","科","section, department, science"
"sī","司","take charge of, control"
"wǔ","五","five; surname"
"jī","基","foundation, base"
"yǎn","眼","eye; eyelet, hole, opening"
"shū","书(書)","book, letter, document; writing"
"fēi","非","not, negative, non-; oppose"
"zé","则(則)","rule, law, regulation; grades"
"tīng","听(聽)","hear; understand; obey, comply"
"bái","白","white; pure, unblemished; brigh"
"què","却(卻)","still, but; decline; retreat"
"jiè","界","boundary, limit; domain; societ"
"dá","达(達)","arrive at, reach; intelligent; "
"guāng","光","light, brilliant, shine; only"
"fàng","放","put, release, free, liberate"
"qiáng","强(強)","strong, powerful, energetic"
"jí","即","promptly, quickly, immediately"
"xiàng","像","a picture, image, figure; to re"
"nán","难(難)","difficult, arduous, hard; unabl"
"qiě","且","moreover, also (post-subject); "
"quán","权(權)","power, right, authority"
"sī","思","think, consider, ponder; final "
"wáng","王","king, ruler; royal; surname"
"xiàng","象","elephant; ivory; figure, image"
"wán","完","complete, finish, settle; whole"
"shè","设(設)","build; establish; display"
"shì","式","style, system, formula, rule"
"sè","色","color, tint, hue, shade; form"
"lù","路","road, path, street; journey"
"jì","记(記)","record; keep in mind, remember"
"nán","南","south; southern part; southward"
"pǐn","品","article, product, commodity"
"zhù","住","reside, live at, dwell, lodge; "
"gào","告","tell, announce, inform; accuse"
"lèi","类(類)","class, group, kind, category"
"qiú","求","seek; demand, request; beseech"
"jù","据(據 据)","to occupy, take possession of; "
"chéng","程","journey, trip; schedule, agenda"
"běi","北","north; northern; northward"
"biān","边(邊)","edge, margin, side, border"
"sǐ","死","die; dead; death"
"zhāng","张(張)","stretch, extend, expand; sheet"
"gāi","该(該)","should, ought to, need to"
"jiāo","交","mix; intersect; exchange"
"guī","规(規)","rules, regulations, customs"
"wàn","万(萬)","ten thousand; innumerable"
"qǔ","取","take, receive, obtain; select"
"lā","拉","pull, drag; seize, hold; length"
"gé","格","pattern, standard, form; style"
"wàng","望","to look at, look forward; to ho"
"jué","觉(覺)","to wake up from sleep; consciou"
"zhú","术(朮 術)","art, skill, special feat; metho"
"lǐng","领(領)","neck; collar; lead, guide"
"gòng","共","together with, all, total; to s"
"què","确(确 確)","sure, certain; real, true"
"chuán","传(傳)","summon; propagate, transmit"
"shī","师(師)","teacher, master, specialist"
"guān","观(觀)","see, observe, view; appearance"
"qīng","清","clear, pure, clean; peaceful"
"jīn","今","now, today, modern era"
"qiē","切","cut, mince, slice, carve"
"yuàn","院","courtyard, yard, court; school"
"ràng","让(讓)","allow, permit, yield, concede"
"shì","识(識)","recognize, understand, know"
"hòu","候","wait; expect; visit; greet"
"dài","带(帶)","belt, girdle, band, strap, zone"
"dǎo","导(導)","direct, guide, lead, conduct"
"zhēng","争(爭)","dispute, fight, contend, strive"
"yùn","运(運)","run; simplified form of 運 luck,"
"xiào","笑","smile, laugh, giggle; snicker"
"fēi","飞(飛)","fly; go quickly; dart; high"
"fēng","风(風)","wind; air; manners, atmosphere"
"bù","步","step, pace; walk, stroll"
"gǎi","改","change, alter; improve, remodel"
"shōu","收","gather together, collect; harve"
"gēn","根","root, base(d on); foundation"
"gān","干(榦 干 幹 乾)","oppose, offend; invade; dried"
"zào","造","construct, build, make, begin; "
"yán","言","words, speech; speak, say"
"lián","联(聯)","connect, join; associate, ally"
"chí","持","sustain, support; hold, grasp"
"zǔ","组(組)","class; section, department"
"měi","每","every, each"
