"Hepburn","Hiragana","Katakana"
"a","あ","ア"
"i","い","イ"
"u","う","ウ"
"e","え","エ"
"o","お","オ"
"ya","や","ャ"
"yu","ゆ","ュ"
"yo","よ","ョ"
"ka","か","カ"
"ki","き","キ"
"ku","く","ク"
"ke","け","ケ"
"ko","こ","コ"
"kya","きゃ","キャ"
"kyu","きゅ","キュ"
"kyo","きょ","キョ"
"sa","さ","サ"
"shi","し","シ"
"su","す","ス"
"se","せ","セ"
"so","そ","ソ"
"sha","しゃ","シャ"
"shu","しゅ","シュ"
"sho","しょ","ショ"
"ta","た","タ"
"chi","ち","チ"
"tsu","つ","ツ"
"te","て","テ"
"to","と","ト"
"cha","ちゃ","チャ"
"chu","ちゅ","チュ"
"cho","ちょ","チョ"
"na","な","ナ"
"ni","に","ニ"
"nu","ぬ","ヌ"
"ne","ね","ネ"
"no","の","ノ"
"nya","にゃ","ニャ"
"nyu","にゅ","ニュ"
"nyo","にょ","ニョ"
"ha","は","ハ"
"hi","ひ","ヒ"
"fu","ふ","フ"
"he","へ","ヘ"
"ho","ほ","ホ"
"hya","ひゃ","ヒャ"
"hyu","ひゅ","ヒュ"
"hyo","ひょ","ヒョ"
"ma","ま","マ"
"mi","み","ミ"
"mu","む","ム"
"me","め","メ"
"mo","も","モ"
"mya","みゃ","ミャ"
"myu","みゅ","ミュ"
"myo","みょ","ミョ"
"ya","や","ヤ"
"yu","ゆ","ユ"
"yo","よ","ヨ"
"ra","ら","ラ"
"ri","り","リ"
"ru","る","ル"
"re","れ","レ"
"ro","ろ","ロ"
"rya","りゃ","リャ"
"ryu","りゅ","リュ"
"ryo","りょ","リョ"
"wa","わ","ワ"
"wo","を","ヲ"
"n","ん","ン"
"ga","が","ガ"
"gi","ぎ","ギ"
"gu","ぐ","グ"
"ge","げ","ゲ"
"go","ご","ゴ"
"gya","ぎゃ","ギャ"
"gyu","ぎゅ","ギュ"
"gyo","ぎょ","ギョ"
"za","ざ","ザ"
"ji","じ","ジ"
"zu","ず","ズ"
"ze","ぜ","ゼ"
"zo","ぞ","ゾ"
"ja","じゃ","ジャ"
"ju","じゅ","ジュ"
"jo","じょ","ジョ"
"da","だ","ダ"
"ji","ぢ","ヂ"
"zu","づ","ヅ"
"de","で","デ"
"do","ど","ド"
"ja","ぢゃ","ヂャ"
"ju","ぢゅ","ヂュ"
"jo","ぢょ","ヂョ"
"ba","ば","バ"
"bi","び","ビ"
"bu","ぶ","ブ"
"be","べ","ベ"
"bo","ぼ","ボ"
"bya","びゃ","ビャ"
"byu","びゅ","ビュ"
"byo","びょ","ビョ"
"pa","ぱ","パ"
"pi","ぴ","ピ"
"pu","ぷ","プ"
"pe","ぺ","ペ"
"po","ぽ","ポ"
"pya","ぴゃ","ピャ"
"pyu","ぴゅ","ピュ"
"pyo","ぴょ","ピョ"
"ū","うう","ウウ"
"ō","おう","オウ"
"ō","おお","オオ"
