"hiragana","kanji","meaning",""
"あせまみれ","汗まみれ","lots of sweat",""
"あたり","辺り","vicinity",""
"あまり","余り","remainder",""
"いきかえる","生き返る","revive",""
"いちにちちゅう","１日中","whole day",""
"いっしゅんで","一瞬で","moment",""
"いっしょに","一緒に","together",""
"うちあげる","打ち上げる","launch",""
"うなずく","うなずく","nod",""
"える","を得る","get",""
"おどろいた","驚いた","surprised",""
"おぼえて","覚えて","remember",""
"おもいだす","を思い出す","remember",""
"かいほう","を解放","release",""
"がてら","〜がてら","at the same time",""
"かわききった","乾き切った","dryout",""
"きげん","機嫌がいい","good humour",""
"きたく","帰宅","return home",""
"きっかけ","きっかけ","with the chance",""
"くらやみ","暗やみ","darkness",""
"こえがする","の声がする","hear",""
"ごくごくと","ごくごくと","gulping",""
"こしをおろす","腰を下ろす","sit",""
"しじ","指示","indication",""
"しゅんかん","瞬間","moment",""
"せいかくに","正確に","correctly",""
"それとも","それとも","or",""
"たつ","経つ","pass",""
"つち","土","soil",""
"つつ","〜つつ","even though",""
"つれだし","連れ出し","takeout",""
"とうじ","当時","at the time",""
"とおりがかる","通りがかる","passing",""
"とつぜん","突然","suddenly",""
"ながめる","眺める","view",""
"なつかしい","懐かしい","nostalgic",""
"にわ","庭","garden",""
"ぬく","抜く","extract",""
"ねだる","ねだる","beg",""
"のことだから","〜のことだから","because he is that way",""
"のどをならす","喉を鳴らす","make sound",""
"はこんで","運んで","carry",""
"はなび","花火","fireworks",""
"ひ","陽","sunshine",""
"ふうな","ふうな","style",""
"ふってきた","降ってきた","rain",""
"べき","〜べき","should",""
"ままに","〜ままに","as",""
"みあわせる","見合わせる","exchange glance",""
"みつめる","見つめる","gaze",""
"もっとも","もっとも","but",""
"やかれ","焼かれ","burn",""
"ゆうすずみ","夕涼み","evening cool",""
"ゆかた","浴衣","yukata",""
"ゆったりとする","ゆったりとする","loosely doing something",""
"ようやく","ようやく","finally",""
"よびだされた","呼び出された","call out",""
"れんそう","連想","association",""
"〜がてら","〜がてら","at  the same time",""
"おたく","お宅","home",""
"おぼえる","覚える","remember",""
"よそく","（か｜の）予測する","predict",""
"かかせない","Nに欠かせない","require",""
"しだい","次第","depend on",""
"しゅうかく","を収穫","harvest",""
"いのち","命を落とす","destiny",""
"ほうそく","法則","rule",""
"ながれる","流れる","flow",""
"むく","向く","direction",""
"かんさつ","観察する","observe",""
"ちょうわ","調和する","harmony",""
"かくち","各地","various places",""
"ゆうやけ","夕焼け","sunset",""
"のうさぎょう","農作業","farmwork",""
"いいつたえ","言い伝える","send word",""
"あてになる","当てになる","aim at goal",""
"ちえ","知恵","wisdom",""
"かみ","神","god",""
"かんそく","観測する","observe",""
"しんぽ","が進歩する","progress",""
"すうじかんご","数時間後","after a few hours",""
"じき","時期","time season",""
"ひどり","日取り","fixed date",""
"いじょうな","異常な","strangeness",""
"こうずい","洪水","flood",""
"ひきおこす","Nを引き起こす","cause",""
"てにおえない","Nを手におえない","unmanagable",""
"みなおす","見直す","look again",""
"きしょう","気象","weather",""
"はれる","晴れる","clear",""
"りよう","利用","use",""
"しぜん","自然な","nature",""
"ぎじゅつ","技術","craft",""
"きせつ","季節","season",""
"をおとす","を落とす","drop",""
"くも","雲","clouds",""
"だいいち","第一","first",""
"いっぽ","一歩","small amount",""
"うえで","〜上で","from the viewpoint",""
"いとなむ","いとなむ","to carry on doing X",""
"めざらし","目皿し","rare",""
"とける","溶ける","melt",""
"いのる","祈る","pray",""
"てるてるぼうず","てるてる坊主","deruderubozu",""
"とともに","〜とともに","together with",""
"なくではならない","なくではならない","required",""
"にもかかわらず","〜にもかかわらず","but (written)",""
"かけがえのない","かけがえのない","irreplaceable",""
"うばう","奪う","snatch away",""
"よごす","汚す","make dirty",""
"あわてる","慌てる","panic",""
"したがう","従う","abide",""
"けいたいする","携帯する","carry",""
"くちこみ","口コミ","word of mouth",""
"といかける","を問いかける","ask a question",""
"ひとこと","一言","a single word",""
"かえる","を変える","change",""
"こうえんしゃ","公演者","lecturer",""
"みみをかたむける","僕が講演に耳を傾ける","listen carefully",""
"べすとせらー","ベストセラー","best seller",""
"ふれあう","子供と触れ合う","touch each other",""
"たびする","旅する","travel",""
"ちょしゃ","著者","author",""
"をいらいする","人に管理を依頼する","request",""
"わかもの","若者","young man",""
"なにげない","何気ない","casual",""
"おもわず","思わず","involuntarily",""
"しらぬ","知らぬ","ignorance",""
"ま・あいだ","間","time",""
"いいきになる","いい気になる","conceited",""
"であう","が出会う","meet up by chance",""
"きがあう","と気があう","get along with someone",""
"をはじめ","社長を始め、","starting with",""
"あるきまわる","歩き回る","walk around",""
"たいけんする","を体験する","try something yourself",""
"かさねる","を重ねる","pile up",""
"さすがに","さすがに","as one would expect",""
"かんしんする","人が話に感心する","admiration",""
"ひょうじょう","表情","facial expression",""
"ちょうしにのる","に調子に乗る","excited",""
"どくとく","独特な","unique",""
"じまんする","自慢げな","boastful",""
"そういえば","そういえば","come to think of it",""
"あわせる","人が音楽に合わせる","match",""
"だまりこむ","人が黙り込む","become silent",""
"せいけつな","清潔な","clean",""
"〜わけがない","来るわけがない","there is no way that he will come",""
"〜だけに","外国人が多いだけに","as might be expected",""
"ショックな","ショックな","shock",""
"きがつく","気がつく","notice",""
"おかしい","可笑しい","funny",""
"はずかしい","恥ずかしい","embarassing",""
"ものがみえる","ものが見える","see things",""
"ぼうとう","冒頭","starting",""
"つめる","を詰める","stuff into",""
"まとめる","考えをまとめる","collect",""
"てーま","テーマ","theme",""
"ねがう","を願う","desire, beg",""
"そえる","を添える","garnish",""
"なごむ","が和む","calm down",""
"はくしゅする","拍手する","clapping hands",""
"しめくくり","を締めくくり","bring to finish, bind",""
"りゅうがく","留学","overseas",""
"おどろく","人が驚く","be surprised",""
"かたむく","傾く","incline toward",""
"せかいじゅう","世界中","around the world",""
"せいこう","成功","success",""
"じしん","自身","confidence",""
"しっぱい","失敗","failure",""
"とつぜん","突然","suddenly",""
"しつもん","質問","question",""
"ほめる","褒める","praise",""
"ぜんぜん","全然","not at all",""
"しゅみ","趣味","hobby",""
"ささえる","支える","support",""
"なじむ","人が生活に馴染む","to become familiar with",""
"そうべつ","送別する","farewell",""
"とくべつ","特別な","special",""
"さそう","パーティーに人を誘う","to invite",""
"たちばうえ","立場上","from the standpoint",""
"さんか","パーティーに参加する","participation",""
"うまれつき","生まれつき","to be born (with)",""
"にがて","苦手な","poor (at)",""
"ものだから","仲間と会ったものだから","the reason for something",""
"たえる","主人に耐える","to bear",""
"たえがたい","耐え難い","unbearable",""
"どうしても","どうしても","at any case",""
"どうよう","童謡","children's song",""
"ちから","力","force",""
"たよる","姉が両親に頼る","to rely on",""
"きめかねる","決めかねる","to be unable to decide",""
"しらける","音楽に僕が白ける","to be spoiled (spoilt)",""
