"hiragana","kanji","meaning"
"とどきます（にもつが）","届きます（荷物が）","Be delivered (parcels)"
"でます（しあいに）","出ます（試合に）","Participate (in a game)"
"うちます（ワープロを）","打ちます（ワープロを）","Type (in a word processor)"
"ちょきんします","貯金します","Save money"
"ふとります","太ります","Get fat"
"やせます","やせます","Get slim, loose weight"
"すぎます（ななじを）","過ぎます（７時を）","Pass (7 o'clock)"
"なれます（しゅかんに）","慣れます（習慣に）","Get accostumed to (the customs)"
"かたい","硬い","Hard, tough, solid"
"やわらかい","軟らかい","Soft, tender"
"でんし～","電子～","Electronic ~"
"けいたい～","携帯～","Portable ~"
"こうじょう","工場","Factory"
"けんこう","健康","Health"
"けんどう","剣道","Kendo (Japanese style of Fencing)"
"まいしゅう","毎週","Every week"
"まいつき","毎月","Every month"
"まいとし、まいねん","毎年","Every year"
"やっと","やっと","Finally"
"かなり","かなり","Fairly"
"かならず","必ず","With out fail, by any means"
"ぜったいに","絶対に","Absolutely（Used with negatives）"
"じょうずに","上手に","Skillfully, well"
"できるだけ","できるだけ","As much as possible"
"このごろ","このごろ","These days"
"～ずつ","～ずつ","~ (some amount) per (some unit)"
"そのほうが～","そのほうが～","That is more~"
"おきゃくさま","お客様","Guest, Customer"
"とくべつ","特別","Special"
"していらっしゃいます","していらっしゃいます","Be doing (respectful equivalent of しています）"
"すいえい","水泳","Swimming"
"～とか、～とか","～とか、～とか","～、～、and so on"
"きもち","気持ち","Feeling, Enthusiasm"
"のりもの","乗り物","Vehicles, means of transportation"
"～せいき","～世紀","~th century"
"とおく","遠く","Far, Remote place"
"きしゃ","汽車","Locomotive"
"きせん","汽船","Steam boat"
"おおぜいの～","大勢の～","Many (people)"
"はこびます","運びます","Carry, Transport"
"とびます","飛びます","Fly"
"あんぜん「な」","安全「な」","Safe"
"うちゅう","宇宙","Space, Universe"
"ちきゅう","地球","Earth"
"きそくただしいせいかつをする","規則正しい生活をする","Lead a well regulated life"
"はやね、はやおきをする","早寝、早起きをする","Keep early hours"
"うんどうする","運動する","Take exercise"
"よくあるく","よく歩く","Walk a lot"
"すききらいがない","好き嫌いがない","Have no particular likes and dislikes"
"えいようのバランスをかんがえてたべる","栄養のバランスを考えて食べる","Have a balanced diet"
"けんこうしんだんをうける","健康診断を受ける","Have health checks"
"よふかしをする","夜更かしをする","Sit up late"
"あまりうんどうしない","あまり運動しない","Take little exercises"
"すききらいがある","好き嫌いがある","Have many likes and dislikes"
"よくインスウタントしょくひんをたべる","よくインスウタント食品を食べる","Often eat instant foods"
"がいしょくがおおい","外食が多い","Often eat out"
"たばこをすう","たばこを吸う","Smoke"
"よくおさけをのむ","よくお酒を飲む","Drink a lot"
"たんすいかぶつ","炭水化物","Carbohydrates"
"いも","いも","Potatos"
"しぼう","脂肪","Fat, oil"
"かいそう","海草","Seaweed"
"たんばくしつ","たんばく質","Protein"
"まめ","豆","Beans"
"ほめます","褒めます","Praise"
"しかります","しかります","Scold, Bother"
"さそいます","誘います","Invite, ask someone to join"
"おこします","起こします","Wake (someone) up"
"しょうたいします","招待します","Invite"
"たのみます","頼みます","Ask, Request"
"ちゅういします","注意します","Warn, Advise"
"とります","とります","Rob, Steal"
"ふみます","踏みます","Step on (someone's foot)"
"こわします","壊します","Break, Destroy"
"よごします","汚します","Make ~ dirty"
"おこないます","行います","Hold, Carry out, Practice"
"ゆしゅつします","輸出します","Export"
"ゆにゅうします","ゆにゅうします","Import"
"ほんやくします","翻訳します","Translate"
"はつめいします","発明します","Invent"
"はっけんします","発見します","Discover"
"せっけいします","設計します","Design, Plan"
"こめ","米","Rice"
"むぎ","麦","Barely, wheat"
"せきゆ","石油","Petrolium"
"げんりょう","原料","Raw material"
"どろぼう","泥棒","Theif, robber"
"けいかん","警官","Policeman"
"けんちくか","建築家","Architect"
"かがくしゃ","科学者","Scientist"
"まんが","漫画","Cartoon"
"せかいじゅう","世界中","All over the world"
"～じゅう","～中","All over ~"
"～によって","～によって","By ~"
"よかったですね。","よかったですね。","That's lucky, isn't it?"
"うめたてます","埋め立てます","Reclaim"
"ぎじゅつ","技術","Technology"
"とち","土地","Land"
